study_uid,status,reason,retrieved_uids,top1_similarity,findings_bleu,findings_rouge_l,findings_meteor,impression_bleu,impression_rouge_l,impression_meteor
3967,completed,,142|1926|1643|438|1546,0.9789539575576782,0.6071798233585919,0.18181818181818182,0.0847457627118644,5.815868174415823,0.0,0.06410256410256411
618,completed,,2965|858|1106|2701|2030,0.9489535093307495,0.3904199879685536,0.1509433962264151,0.08658008658008658,2.139538333930869,0.0,0.03787878787878788
2161,completed,,1074|1193|2123|45|454,0.9727507829666138,0.9475116152704546,0.11320754716981131,0.07712082262210795,1.9582248325011242,0.0,0.08196721311475409
1520,completed,,1574|3377|3314|2081|2552,0.9480918645858765,0.3965171112737745,0.12903225806451613,0.06802721088435375,8.116697886877475,0.0,0.09803921568627452
1563,completed,,3655|3499|306|1093|1406,0.9802718162536621,1.2877508368086235,0.1111111111111111,0.07861635220125787,4.167251645138561,0.0,0.05208333333333333
1932,completed,,3986|537|2552|2967|3297,0.9580553770065308,6.633660513082998,0.19999999999999998,0.23338406900050734,9.652434877402245,0.25,0.45454545454545453
3003,completed,,3506|1241|442|1175|2353,0.9854814410209656,1.009562721161946,0.19047619047619047,0.14080195898377718,8.116697886877475,0.0,0.09803921568627452
2516,completed,,302|3460|703|2077|553,0.9681152105331421,1.059209315841262,0.06666666666666667,0.06976744186046512,0.0,0.0,0.0
2956,completed,,3532|780|410|3936|3460,0.9436098337173462,6.633660513082998,0.19999999999999998,0.23338406900050734,9.652434877402245,0.25,0.45454545454545453
207,completed,,299|2048|577|977|119,0.9741044044494629,3.1355390537376873,0.25,0.2244857594936709,4.167251645138561,0.0,0.05208333333333333
3238,completed,,442|2854|354|598|46,0.982713520526886,0.14362748699603273,0.1492537313432836,0.07017543859649122,0.40410659261526566,0.0,0.04504504504504504
3211,completed,,2205|3380|3892|1348|3556,0.9564324021339417,0.5292800444552218,0.15384615384615385,0.08064516129032258,0.7473752681805566,0.0,0.02145922746781116
3039,completed,,421|1420|1315|577|1601,0.9720592498779297,6.344849033136086,0.18181818181818182,0.22871376811594205,8.116697886877475,0.0,0.09803921568627452
3930,completed,,1760|595|2524|1979|2213,0.9746909141540527,1.166963012535257,0.16666666666666666,0.09358288770053474,8.116697886877475,0.0,0.09803921568627452
1648,completed,,3071|1466|2632|2048|1165,0.934954822063446,1.104586160642366,0.17391304347826086,0.10752688172043011,1.2976955971595585,0.0,0.031446540880503145
3803,completed,,551|1322|1259|1361|1077,0.9676130414009094,0.34562419688992885,0.14545454545454545,0.0743099787685775,2.5275658895144484,0.0,0.04065040650406504
538,completed,,43|1190|3921|1623|2812,0.9533616304397583,2.9630836289737035,0.19354838709677416,0.19561403508771935,3.5275023606301383,0.0,0.04761904761904762
1813,completed,,3133|3304|2347|2694|3910,0.9730479717254639,0.7598378025171432,0.13043478260869562,0.11191309419655875,8.116697886877475,0.0,0.09803921568627452
3672,completed,,329|280|1561|3123|877,0.9363792538642883,1.5805589242774525,0.04081632653061224,0.06493506493506493,1.2414943415352928,0.06451612903225806,0.15151515151515152
2486,completed,,3440|2866|888|822|3387,0.960804283618927,0.2673208745982633,0.15625,0.06140350877192983,5.815868174415823,0.0,0.06410256410256411
3413,completed,,1354|1970|2053|1979|2476,0.9769225120544434,2.252278368576829,0.1818181818181818,0.12448132780082988,4.456882760699064,0.0,0.13513513513513514
2880,completed,,1568|3722|2431|2668|176,0.9799184203147888,5.345119782517371,0.15384615384615383,0.1724726775956284,9.652434877402245,0.25,0.45454545454545453
2440,completed,,1069|3937|3828|3962|819,0.9722919464111328,1.7557381354086663,0.08,0.08333333333333333,1.4445809981770859,0.0,0.07042253521126761
3502,completed,,2334|1150|436|3175|667,0.9593388438224792,0.189668532019663,0.08888888888888889,0.04895960832313341,1.3186255929286186,0.044444444444444446,0.05952380952380952
1,completed,,271|1042|745|71|327,0.9557085633277893,0.4728721218968286,0.17777777777777776,0.09186351706036747,8.170609724417774,0.4,0.21739130434782605
3363,completed,,1059|1217|6|634|493,0.9328785538673401,1.4774721289543964,0.16666666666666666,0.09478672985781991,2.664321121388895,0.0,0.0872093023255814
238,completed,,3384|1647|371|1366|755,0.9826664924621582,2.6149826893840222,0.14285714285714288,0.16216216216216217,8.116697886877475,0.0,0.09803921568627452
1750,completed,,934|640|1475|1361|1922,0.9521170258522034,0.7186383767269757,0.12658227848101267,0.07908611599297012,1.6338984401221652,0.046511627906976744,0.078125
3858,completed,,2003|3754|871|1277|2438,0.9607587456703186,1.415327710843452,0.13043478260869562,0.08974358974358973,8.116697886877475,0.0,0.09803921568627452
2578,completed,,2110|1568|2365|1937|1764,0.9862127900123596,0.07271320258981467,0.10810810810810811,0.06706408345752607,0.9298395269585749,0.0,0.02824858757062147
2963,completed,,1024|1406|1594|1248|1122,0.9768927693367004,1.3626996554583786,0.2439024390243902,0.16270068807339452,8.116697886877475,0.0,0.09803921568627452
2506,completed,,2882|745|2123|409|1042,0.9615311622619629,1.7654973655112172,0.1818181818181818,0.11666666666666665,1.5266081935888858,0.0975609756097561,0.12658227848101264
3707,completed,,413|269|3|1354|3729,0.9688183069229126,1.109892802473735,0.18181818181818182,0.10144927536231885,5.815868174415823,0.0,0.06410256410256411
